tax_id,city,zip,beds,baths,sqft,year_built,property_type,sale_date,sale_price,lat,lng,sale_day,sale_month,sale_year
800576,Dillon,80435,4,4,3748,1984,Sfr,2017-03-06,650000,39.635245,-106.0410703,6,3,2017
800304,Dillon,80435,5,3,2236,1979,Sfr,2017-06-23,558250,39.6351386,-106.0434219,23,6,2017
800667,Dillon,80435,2,2,762,1973,Condominium,2017-07-12,248000,39.643559,-106.0337387,12,7,2017
800641,Dillon,80435,1,1,554,1969,Condominium,2017-10-20,240000,39.6335864,-106.0449578,20,10,2017
800604,Dillon,80435,1,1,578,1969,Condominium,2017-12-01,202500,39.632972,-106.045628,1,12,2017
800596,Dillon,80435,3,2,2556,1975,Sfr,2017-06-28,540000,39.6344799,-106.0486274,28,6,2017
800379,Dillon,80435,1,1,584,1972,Condominium,2017-08-25,182360,39.6435995,-106.0314259,25,8,2017
800285,Dillon,80435,1,1,584,1976,Condominium,2017-07-24,255000,39.6414514,-106.0381206,24,7,2017
701064,Copper Mtn,80443,3,2,1551,1989,Townhouse,2017-08-31,595000,39.500293,-106.1426236,31,8,2017
700945,Copper Mtn,80443,1,1,478,1984,Condominium,2017-02-21,210000,39.50191270000001,-106.1589207,21,2,2017
800067,Dillon,80435,1,1,584,1974,Condominium,2017-08-24,178900,39.6408241,-106.0398565,24,8,2017
700801,Copper Mtn,80443,1,2,1015,1980,Condominium,2017-10-06,374000,39.5025064,-106.1554042,6,10,2017
700797,Copper Mtn,80443,1,1,822,1980,Condominium,2017-10-04,349000,39.5025064,-106.1554042,4,10,2017
701004,Copper Mtn,80443,1,2,736,1984,Condominium,2017-09-22,291100,39.50191270000001,-106.1589207,22,9,2017
700989,Copper Mtn,80443,1,2,777,1984,Condominium,2017-12-08,326500,39.50191270000001,-106.1589207,8,12,2017
800009,Dillon,80435,2,3,1105,1972,Condominium,2017-07-18,276000,39.637394,-106.046911,18,7,2017
700996,Copper Mtn,80443,1,2,728,1984,Condominium,2017-02-07,295100,39.50191270000001,-106.1589207,7,2,2017
700969,Copper Mtn,80443,1,1,483,1984,Condominium,2017-10-31,225000,39.50191270000001,-106.1589207,31,10,2017
800160,Dillon,80435,4,3,2124,1979,Sfr,2017-03-10,570000,39.64037620000001,-106.0402994,10,3,2017
701040,Copper Mtn,80443,3,2,1516,1987,Townhouse,2017-02-22,585000,39.5019284,-106.1436486,22,2,2017
700922,Copper Mtn,80443,1,1,854,1982,Condominium,2017-01-26,395000,39.5003855,-106.1536398,26,1,2017
700978,Copper Mtn,80443,1,1,506,1984,Condominium,2017-12-04,225000,39.50191270000001,-106.1589207,4,12,2017
700957,Copper Mtn,80443,1,1,514,1984,Condominium,2017-02-24,207000,39.50191270000001,-106.1589207,24,2,2017
700990,Copper Mtn,80443,1,2,729,1984,Condominium,2017-12-27,308750,39.50191270000001,-106.1589207,27,12,2017
700965,Copper Mtn,80443,1,1,483,1984,Condominium,2017-02-15,210000,39.50191270000001,-106.1589207,15,2,2017
800057,Dillon,80435,1,1,584,1972,Condominium,2017-12-04,185000,39.64096809999999,-106.0401727,4,12,2017
700879,Copper Mtn,80443,2,3,1165,1982,Condominium,2017-12-20,465000,39.500979,-106.154938,20,12,2017
700995,Copper Mtn,80443,1,2,789,1984,Condominium,2017-06-23,284500,39.50191270000001,-106.1589207,23,6,2017
800113,Dillon,80435,3,2,1007,1972,Condominium,2017-06-29,312000,39.644133,-106.033188,29,6,2017
800092,Dillon,80435,2,2,1656,1972,Sfr,2017-09-15,520000,39.6365326,-106.0456702,15,9,2017
800046,Dillon,80435,1,1,359,1972,Condominium,2017-06-22,147000,39.643349,-106.034926,22,6,2017
700979,Copper Mtn,80443,1,1,494,1984,Condominium,2017-07-24,215000,39.50191270000001,-106.1589207,24,7,2017
700883,Copper Mtn,80443,2,3,1193,1982,Condominium,2017-04-03,499000,39.500979,-106.154938,3,4,2017
800114,Dillon,80435,4,3,3435,1979,Sfr,2017-10-02,612000,39.6373942,-106.0450691,2,10,2017
700773,Copper Mtn,80443,1,1,813,1980,Condominium,2017-04-28,299000,39.5025064,-106.1554042,28,4,2017
800118,Dillon,80435,3,2,1007,1975,Condominium,2017-07-17,310000,39.64145329999999,-106.0384501,17,7,2017
700673,Copper Mtn,80443,1,2,592,1980,Condominium,2017-07-28,273000,39.5001819,-106.1475634,28,7,2017
700266,Copper Mtn,80443,2,2,1054,1975,Condominium,2017-12-04,425000,39.5007815,-106.1471801,4,12,2017
700127,Copper Mtn,80443,1,1,551,1974,Condominium,2017-06-30,179000,39.5006086,-106.1512354,30,6,2017
700741,Copper Mtn,80443,1,1,384,1980,Condominium,2017-03-01,196000,39.5005645,-106.1553828,1,3,2017
700664,Copper Mtn,80443,3,3,1744,1979,Condominium,2017-05-18,700000,39.501051200000006,-106.1581723,18,5,2017
700164,Copper Mtn,80443,1,2,822,1973,Condominium,2017-10-27,393939,39.5001995,-106.1548912,27,10,2017
700126,Copper Mtn,80443,2,2,903,1974,Condominium,2017-10-19,395000,39.5006086,-106.1512354,19,10,2017
700467,Copper Mtn,80443,2,2,1387,1973,Condominium,2017-08-18,475000,39.5004172,-106.1468014,18,8,2017
700497,Copper Mtn,80443,3,2,1204,1973,Condominium,2017-02-09,518000,39.5003469,-106.1469593,9,2,2017
700460,Copper Mtn,80443,2,2,896,1973,Condominium,2017-10-16,370000,39.5004172,-106.1468014,16,10,2017
